year,week,week_type,team1_name,team1_score,team2_name,team2_score,winner,scraped_at
2017,1,regular,Palm Beach Pelicans,128.62,Mebs Militia,120.58,Palm Beach Pelicans,2025-12-13T17:02:21.088683
2017,1,regular,Killer Cam,106.7,The Brotherhood,94.52,Killer Cam,2025-12-13T17:02:21.089481
2017,1,regular,Maggi's Mighty Ducks,79.34,cheeseheads,108.94,cheeseheads,2025-12-13T17:02:21.089933
2017,1,regular,Scrubs,87.54,Woody,117.42,Woody,2025-12-13T17:02:21.090407
2017,1,regular,DirtyBirds,148.34,Make Wolfpack Great Again,88.48,DirtyBirds,2025-12-13T17:02:21.090783
2017,1,regular,Rats,113.0,Generous Brady,92.84,Rats,2025-12-13T17:02:21.091150
2017,2,regular,Generous Brady,141.82,Make Wolfpack Great Again,143.08,Make Wolfpack Great Again,2025-12-13T17:02:21.534211
2017,2,regular,cheeseheads,90.82,Woody,100.22,Woody,2025-12-13T17:02:21.535086
2017,2,regular,Killer Cam,79.06,DirtyBirds,111.38,DirtyBirds,2025-12-13T17:02:21.535456
2017,2,regular,Maggi's Mighty Ducks,113.54,Palm Beach Pelicans,110.5,Maggi's Mighty Ducks,2025-12-13T17:02:21.535816
2017,2,regular,Rats,93.68,Scrubs,85.8,Rats,2025-12-13T17:02:21.536177
2017,2,regular,The Brotherhood,115.82,Mebs Militia,119.16,Mebs Militia,2025-12-13T17:02:21.536542
2017,3,regular,Make Wolfpack Great Again,117.42,Woody,114.2,Make Wolfpack Great Again,2025-12-13T17:02:21.985662
2017,3,regular,Killer Cam,129.1,Mebs Militia,138.76,Mebs Militia,2025-12-13T17:02:21.986433
2017,3,regular,Palm Beach Pelicans,122.32,cheeseheads,103.22,Palm Beach Pelicans,2025-12-13T17:02:21.986797
2017,3,regular,Scrubs,81.84,Maggi's Mighty Ducks,125.4,Maggi's Mighty Ducks,2025-12-13T17:02:21.987189
2017,3,regular,Generous Brady,96.48,The Brotherhood,104.0,The Brotherhood,2025-12-13T17:02:21.987549
2017,3,regular,DirtyBirds,97.46,Rats,146.88,Rats,2025-12-13T17:02:21.987924
2017,4,regular,Mebs Militia,97.08,Maggi's Mighty Ducks,125.42,Maggi's Mighty Ducks,2025-12-13T17:02:22.380626
2017,4,regular,DirtyBirds,104.18,Palm Beach Pelicans,133.28,Palm Beach Pelicans,2025-12-13T17:02:22.381713
2017,4,regular,Scrubs,113.78,cheeseheads,106.76,Scrubs,2025-12-13T17:02:22.382228
2017,4,regular,Killer Cam,89.9,Generous Brady,119.54,Generous Brady,2025-12-13T17:02:22.382742
2017,4,regular,Rats,76.28,Make Wolfpack Great Again,96.68,Make Wolfpack Great Again,2025-12-13T17:02:22.383260
2017,4,regular,Woody,118.68,The Brotherhood,114.9,Woody,2025-12-13T17:02:22.383781
2017,5,regular,Killer Cam,112.12,Maggi's Mighty Ducks,93.96,Killer Cam,2025-12-13T17:02:22.806473
2017,5,regular,Rats,74.5,Mebs Militia,93.56,Mebs Militia,2025-12-13T17:02:22.807439
2017,5,regular,Make Wolfpack Great Again,89.72,Palm Beach Pelicans,78.94,Make Wolfpack Great Again,2025-12-13T17:02:22.807870
2017,5,regular,cheeseheads,140.04,Generous Brady,128.66,cheeseheads,2025-12-13T17:02:22.808299
2017,5,regular,The Brotherhood,115.62,Scrubs,118.56,Scrubs,2025-12-13T17:02:22.808738
2017,5,regular,DirtyBirds,106.72,Woody,118.44,Woody,2025-12-13T17:02:22.809170
2017,6,regular,DirtyBirds,129.02,Scrubs,116.62,DirtyBirds,2025-12-13T17:02:23.254444
2017,6,regular,Generous Brady,113.06,Maggi's Mighty Ducks,106.74,Generous Brady,2025-12-13T17:02:23.255335
2017,6,regular,Mebs Militia,98.94,cheeseheads,108.72,cheeseheads,2025-12-13T17:02:23.255770
2017,6,regular,Killer Cam,85.8,Woody,103.32,Woody,2025-12-13T17:02:23.256240
2017,6,regular,Make Wolfpack Great Again,134.18,The Brotherhood,126.28,Make Wolfpack Great Again,2025-12-13T17:02:23.256726
2017,6,regular,Palm Beach Pelicans,117.44,Rats,100.88,Palm Beach Pelicans,2025-12-13T17:02:23.257169
2017,7,regular,The Brotherhood,106.86,Maggi's Mighty Ducks,177.24,Maggi's Mighty Ducks,2025-12-13T17:02:23.671077
2017,7,regular,Woody,127.46,Rats,119.06,Woody,2025-12-13T17:02:23.671962
2017,7,regular,Killer Cam,116.72,Make Wolfpack Great Again,101.26,Killer Cam,2025-12-13T17:02:23.672380
2017,7,regular,DirtyBirds,104.22,cheeseheads,109.62,cheeseheads,2025-12-13T17:02:23.672883
2017,7,regular,Mebs Militia,107.46,Scrubs,99.08,Mebs Militia,2025-12-13T17:02:23.673376
2017,7,regular,Generous Brady,84.34,Palm Beach Pelicans,107.28,Palm Beach Pelicans,2025-12-13T17:02:23.673805
2017,8,regular,Make Wolfpack Great Again,169.82,Mebs Militia,99.8,Make Wolfpack Great Again,2025-12-13T17:02:24.111102
2017,8,regular,Palm Beach Pelicans,138.08,Scrubs,88.38,Palm Beach Pelicans,2025-12-13T17:02:24.112194
2017,8,regular,The Brotherhood,113.58,cheeseheads,106.92,The Brotherhood,2025-12-13T17:02:24.112700
2017,8,regular,Killer Cam,99.22,Rats,110.58,Rats,2025-12-13T17:02:24.113203
2017,8,regular,Maggi's Mighty Ducks,108.66,Woody,92.92,Maggi's Mighty Ducks,2025-12-13T17:02:24.113724
2017,8,regular,DirtyBirds,85.86,Generous Brady,126.34,Generous Brady,2025-12-13T17:02:24.114236
2017,9,regular,Maggi's Mighty Ducks,127.52,Rats,105.74,Maggi's Mighty Ducks,2025-12-13T17:02:24.561654
2017,9,regular,The Brotherhood,99.28,Palm Beach Pelicans,84.32,The Brotherhood,2025-12-13T17:02:24.562735
2017,9,regular,cheeseheads,114.1,Make Wolfpack Great Again,115.74,Make Wolfpack Great Again,2025-12-13T17:02:24.563215
2017,9,regular,Woody,153.66,Generous Brady,70.96,Woody,2025-12-13T17:02:24.563657
2017,9,regular,Mebs Militia,99.08,DirtyBirds,90.22,Mebs Militia,2025-12-13T17:02:24.564077
2017,9,regular,Killer Cam,103.78,Scrubs,88.1,Killer Cam,2025-12-13T17:02:24.564497
2017,10,regular,Mebs Militia,63.44,Woody,118.84,Woody,2025-12-13T17:02:25.017444
2017,10,regular,DirtyBirds,112.0,The Brotherhood,169.12,The Brotherhood,2025-12-13T17:02:25.018336
2017,10,regular,Generous Brady,115.86,Scrubs,118.68,Scrubs,2025-12-13T17:02:25.018760
2017,10,regular,Rats,111.06,cheeseheads,75.14,Rats,2025-12-13T17:02:25.019200
2017,10,regular,Palm Beach Pelicans,81.18,Killer Cam,116.18,Killer Cam,2025-12-13T17:02:25.019635
2017,10,regular,Make Wolfpack Great Again,138.54,Maggi's Mighty Ducks,110.36,Make Wolfpack Great Again,2025-12-13T17:02:25.020082
2017,11,regular,DirtyBirds,73.0,Maggi's Mighty Ducks,124.8,Maggi's Mighty Ducks,2025-12-13T17:02:25.443770
2017,11,regular,Woody,85.2,Palm Beach Pelicans,101.9,Palm Beach Pelicans,2025-12-13T17:02:25.444899
2017,11,regular,Make Wolfpack Great Again,128.1,Scrubs,78.52,Make Wolfpack Great Again,2025-12-13T17:02:25.445435
2017,11,regular,Generous Brady,74.92,Mebs Militia,119.76,Mebs Militia,2025-12-13T17:02:25.445992
2017,11,regular,The Brotherhood,147.92,Rats,104.56,The Brotherhood,2025-12-13T17:02:25.446533
2017,11,regular,cheeseheads,130.6,Killer Cam,148.08,Killer Cam,2025-12-13T17:02:25.447087
2017,12,regular,Palm Beach Pelicans,91.36,Make Wolfpack Great Again,106.88,Make Wolfpack Great Again,2025-12-13T17:02:25.966194
2017,12,regular,DirtyBirds,117.88,Rats,90.1,DirtyBirds,2025-12-13T17:02:25.967286
2017,12,regular,Maggi's Mighty Ducks,126.74,cheeseheads,166.86,cheeseheads,2025-12-13T17:02:25.967809
2017,12,regular,Generous Brady,108.38,The Brotherhood,127.52,The Brotherhood,2025-12-13T17:02:25.968353
2017,12,regular,Scrubs,120.52,Killer Cam,147.08,Killer Cam,2025-12-13T17:02:25.968878
2017,12,regular,Mebs Militia,127.28,Woody,75.16,Mebs Militia,2025-12-13T17:02:25.969396
2017,13,regular,DirtyBirds,81.72,Make Wolfpack Great Again,137.02,Make Wolfpack Great Again,2025-12-13T17:02:26.387205
2017,13,regular,Killer Cam,117.14,cheeseheads,168.06,cheeseheads,2025-12-13T17:02:26.388300
2017,13,regular,Woody,113.08,Generous Brady,142.92,Generous Brady,2025-12-13T17:02:26.388814
2017,13,regular,The Brotherhood,94.28,Scrubs,72.5,The Brotherhood,2025-12-13T17:02:26.389410
2017,13,regular,Mebs Militia,95.5,Rats,79.18,Mebs Militia,2025-12-13T17:02:26.389993
2017,13,regular,Palm Beach Pelicans,136.64,Maggi's Mighty Ducks,119.56,Palm Beach Pelicans,2025-12-13T17:02:26.390524
2017,14,regular,Killer Cam,93.94,Mebs Militia,138.64,Mebs Militia,2025-12-13T17:02:26.827478
2017,14,regular,Scrubs,105.44,Make Wolfpack Great Again,94.72,Scrubs,2025-12-13T17:02:26.828385
2017,14,regular,Palm Beach Pelicans,91.74,Generous Brady,145.64,Generous Brady,2025-12-13T17:02:26.828814
2017,14,regular,DirtyBirds,107.64,cheeseheads,144.96,cheeseheads,2025-12-13T17:02:26.829240
2017,14,regular,Maggi's Mighty Ducks,128.54,Rats,122.72,Maggi's Mighty Ducks,2025-12-13T17:02:26.829665
2017,14,regular,Woody,132.48,The Brotherhood,80.14,Woody,2025-12-13T17:02:26.830097
2017,15,playoff,Palm Beach Pelicans,102.9,Killer Cam,113.64,Killer Cam,2025-12-13T17:02:27.261909
2017,15,playoff,cheeseheads,81.58,The Brotherhood,91.68,The Brotherhood,2025-12-13T17:02:27.262823
2017,15,playoff,Make Wolfpack Great Again,140.02,Maggi's Mighty Ducks,143.24,Maggi's Mighty Ducks,2025-12-13T17:02:27.263257
2017,15,playoff,Woody,121.08,Mebs Militia,137.54,Mebs Militia,2025-12-13T17:02:27.263697
2017,16,playoff,Killer Cam,75.56,The Brotherhood,90.42,The Brotherhood,2025-12-13T17:02:27.696645
2017,16,playoff,Palm Beach Pelicans,113.82,cheeseheads,103.3,Palm Beach Pelicans,2025-12-13T17:02:27.697537
2017,16,playoff,Maggi's Mighty Ducks,178.66,Mebs Militia,94.94,Maggi's Mighty Ducks,2025-12-13T17:02:27.697957
2017,16,playoff,Make Wolfpack Great Again,90.06,Woody,98.24,Woody,2025-12-13T17:02:27.698374
2018,1,regular,The Brotherhood,114.84,DirtyBirds,65.94,The Brotherhood,2025-12-13T17:02:28.637832
2018,1,regular,Palm Beach Pelicans,114.2,Woody,91.64,Palm Beach Pelicans,2025-12-13T17:02:28.638738
2018,1,regular,Generous Brady,119.08,Rats,133.16,Rats,2025-12-13T17:02:28.639222
