year,place,team_name,wins,losses,ties,win_pct,points_for,points_against,team_logo,standings_type,scraped_at
2017,1,Maggi's Mighty Ducks,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:25.588879
2017,2,Mebs Militia,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:25.588943
2017,3,Woody,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:25.588983
2017,4,Wolfpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:25.589017
2017,5,The Brotherhood,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:25.589050
2017,6,Killer Cam,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:25.589081
2017,7,Pels,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:25.589110
2017,8,cheeseheads,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:25.589139
2017,9,The Generous,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:25.589171
2017,10,The Ratpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:25.589201
2017,11,DirtyBirds,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:25.589232
2017,12,Scrubs,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:25.589263
2018,1,Mebs Militia,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.100822
2018,2,The Brotherhood,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.100849
2018,3,cheeseheads,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.100862
2018,4,Pels,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.100875
2018,5,The Ratpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.100887
2018,6,The Generous,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.100899
2018,7,Wolfpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.100911
2018,8,Killer Cam,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.100922
2018,9,Woody,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.100934
2018,10,Maggi's Mighty Ducks,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.100946
2018,11,Scrubs,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.100957
2018,12,DirtyBirds,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.100970
2019,1,Scrubs,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.658483
2019,2,Pels,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.658540
2019,3,Maggi's Mighty Ducks,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.658575
2019,4,Wolfpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.658607
2019,5,Mebs Militia,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.658636
2019,6,DirtyBirds,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.658666
2019,7,The Ratpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.658695
2019,8,cheeseheads,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.658726
2019,9,Killer Cam,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.658754
2019,10,The Brotherhood,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.658792
2019,11,The Generous,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.658821
2019,12,Woody,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:26.658856
2020,1,Wolfpack,0,0,0,0.0,0.0,0.0,,final,2025-12-13T18:10:27.213842
